文章标题,发布日期,头条文章ID,文章链接,发布账号,产品品类,文章类型,标题结构模板,展现量,粉丝展现量,阅读量,粉丝阅读量,CTR(%),完读率(%),平均阅读时长(s),点赞数,评论数,转发量,分享量,收藏数,互动率(%),标题字数,当前阶段,是否限流,限流原因,表现分层,主因归因,辅因归因,可复用点,问题点,下次动作,建议改写标题,归因来源,复盘日期
2026 Mini LED 技术路线之争：SQD减法光学 vs RGB加法光学,2026-05-13 19:30:00,7639287790580072987,https://toutiao.com/i7639287790580072987/,牛科技,电视,趋势科普,对比选择型,16,0,0,0,0,0,0,0,0,0,0,0,0,39,已发布,疑似限流,展现量低于100或阅读量为0，先作为疑似限流样本复盘。,疑似限流,疑似限流,['标题弱'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台推荐入口弱或阅读为0，需检查标题关键词、品类热度和发布时间。,冻结,,历史补标,2026-05-22
2026冰箱选购避坑：别被容量忽悠，这 3 个参数才决定你用着爽不爽,2026-05-12 19:00:00,7638882467885122089,https://toutiao.com/i7638882467885122089/,牛科技,冰箱,教程避坑,内幕避坑型,2260,41,3,0,0,83.33,328,0,0,0,0,0,0.0,34,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,改标题再试,冰箱选购最容易踩的3个坑，卖场一般不会主动说,历史补标,2026-05-22
花同样的钱，选哪个电视品牌亏最少？2026年答案来了,2026-05-11 19:00:00,7638533406728471046,https://toutiao.com/i7638533406728471046/,牛科技,电视,选购横评,对比选择型,13530,53,1191,5,9.0,16.64,140,16,14,0,14,17,5.12,26,已发布,正常,,点击强,标题强点击,['公式可复用'],对比选择型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
AI最大的变化不是变聪明了，是开始替人上班了,2026-05-10 23:37:41,7638285258512744998,https://toutiao.com/i7638285258512744998/,牛科技,AI,趋势科普,其他,2792,41,25,1,1.0,9.74,29,1,0,0,7,3,44.0,22,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,改标题再试,AI别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-22
三星家电被中国赶走了：34年来它做错了什么？,2026-05-10 19:00:00,7637825318924878371,https://toutiao.com/i7637825318924878371/,牛科技,电视,趋势科普,品牌锚点型,2840,41,3,0,0,45.67,132,0,0,0,0,0,0.0,22,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,改标题再试,电视品牌怎么选，老评测只看这3个硬指标,历史补标,2026-05-22
海信、TCL、创维电视怎么选？三分钟看懂，别再交智商税,2026-05-09 19:30:00,7637704514120548864,https://toutiao.com/i7637704514120548864/,牛科技,电视,选购横评,多品牌对决型,20,0,0,0,0,0,0,0,0,0,0,0,0,27,已发布,疑似限流,展现量低于100或阅读量为0，先作为疑似限流样本复盘。,疑似限流,疑似限流,['标题弱'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台推荐入口弱或阅读为0，需检查标题关键词、品类热度和发布时间。,冻结,,历史补标,2026-05-22
2026年618，iPhone 17五款机型这样买最省钱！,2026-05-08 19:00:00,7637350484612825663,https://toutiao.com/i7637350484612825663/,牛科技,手机,选购横评,其他,2596,50,2,1,0,9.0,22,1,0,0,0,1,100.0,29,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,淘汰,,历史补标,2026-05-22
618烟灶选购指南：我扒了四大品牌30款产品，每个价位只推荐2款,2026-05-07 18:31:42,7637062617810387498,https://toutiao.com/i7637062617810387498/,牛科技,油烟机,选购横评,其他,2727,51,3,1,0,74.4,157,1,0,0,1,0,66.67,32,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,改标题再试,油烟机别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-22
2026年618洗衣机价格预测：什么价格才是真底价？,2026-05-07 11:49:28,7636988536440308267,https://toutiao.com/i7636988536440308267/,牛科技,洗衣机,趋势科普,其他,2773,45,1,0,0,0,0,1,0,0,0,0,100.0,26,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,改标题再试,洗衣机别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-22
2026年618洗衣机品牌选购指南：海尔/小天鹅/西门子怎么选,2026-05-06 19:19:04,7636731516055323163,https://toutiao.com/i7636731516055323163/,牛科技,洗衣机,选购横评,多品牌对决型,2863,47,16,0,1.0,14.5,179,1,0,0,0,1,12.5,31,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,改标题再试,洗衣机别只看品牌，真正拉开差距的是这3个参数,历史补标,2026-05-22
波轮还是滚筒？2026年洗衣机选购核心看这3点,2026-05-06 16:16:15,7636676121743917618,https://toutiao.com/i7636676121743917618/,牛科技,洗衣机,选购横评,对比选择型,5258,44,197,0,4.0,15.27,210,6,0,0,0,9,7.61,23,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,暂无明显硬伤，继续观察同类样本。,改标题再试,洗衣机别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-22
扁桶热水器为什么越来越火？双胆原理+5个坑+9款产品参数一次讲透,2026-05-06 11:48:11,7636611738028311086,https://toutiao.com/i7636611738028311086/,牛科技,热水器,趋势科普,反问悬念型,6182,52,326,0,5.0,23.42,287,3,0,0,8,15,7.98,32,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,暂无明显硬伤，继续观察同类样本。,改标题再试,同样买热水器，为什么有人用着省心有人天天后悔,历史补标,2026-05-22
2026年618热水器选购指南：500到3000元价位，16款横评直接抄作业,2026-05-05 18:31:26,7636351733757461026,https://toutiao.com/i7636351733757461026/,牛科技,热水器,选购横评,对比选择型,8465,50,576,0,7.0,10.05,138,4,8,0,15,20,8.16,38,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,暂无明显硬伤，继续观察同类样本。,改标题再试,热水器别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-22
燃气热水器vs电热水器，2026年到底该选哪个？一次说清楚,2026-05-05 15:45:31,7636300753744724514,https://toutiao.com/i7636300753744724514/,牛科技,热水器,选购横评,反问悬念型,5867,143,147,1,3.0,22.71,173,4,0,0,3,5,8.16,29,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,暂无明显硬伤，继续观察同类样本。,改标题再试,同样买热水器，为什么有人用着省心有人天天后悔,历史补标,2026-05-22
2026年空调安装售后猫腻大全：师傅不会告诉你的5件事,2026-05-04 19:18:31,7635968413734732315,https://toutiao.com/i7635968413734732315/,牛科技,空调,教程避坑,内幕避坑型,42159,54,4207,6,10.0,21.13,167,55,8,0,129,159,8.34,27,已发布,正常,,爆款,标题强点击,"['内容承接强', '公式可复用']",空调+内幕避坑型 已验证，展现/阅读/CTR 同时强，可作为下周优先复用结构。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
空调清洗自己做还是花钱叫师傅？一次讲清楚，附DIY步骤,2026-05-04 17:33:17,7635953149613818418,https://toutiao.com/i7635953149613818418/,牛科技,空调,教程避坑,对比选择型,7011,41,174,0,2.0,13.13,138,4,0,0,6,8,10.34,27,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,暂无明显硬伤，继续观察同类样本。,改标题再试,空调别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-22
空调内机滴水、结冰怎么办？4种情况自查+处理方法，不用等师傅,2026-05-04 15:40:31,7635936457277866505,https://toutiao.com/i7635936457277866505/,牛科技,空调,教程避坑,多品牌对决型,2897,36,25,0,1.0,21.94,101,3,0,0,0,1,16.0,30,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,改标题再试,空调别只看品牌，真正拉开差距的是这3个参数,历史补标,2026-05-22
空调开机第一步你做对了吗？5个开机前必做的检查，省下维修费,2026-05-04 12:03:26,7635879343461368346,https://toutiao.com/i7635879343461368346/,牛科技,空调,教程避坑,其他,10312,32,363,1,4.0,30.6,197,5,0,0,14,18,10.19,29,已发布,正常,,承接强,内容承接强,['公式可复用'],内容承接不错，但需要重新包装标题提高点击。,暂无明显硬伤，继续观察同类样本。,改标题再试,空调别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-22
2026年618美的冰箱选购指南哪些值得买哪些是坑，看完这篇就够了,2026-05-03 19:00:00,7635576977516282420,https://toutiao.com/i7635576977516282420/,牛科技,冰箱,选购横评,品牌锚点型,3899,32,160,1,4.0,14.8,109,2,0,0,1,8,6.88,33,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,暂无明显硬伤，继续观察同类样本。,改标题再试,冰箱品牌怎么选，老评测只看这3个硬指标,历史补标,2026-05-22
2026年2000-3000元空调挂机横评：3条技术路线谁更值得买,2026-05-03 14:18:25,7634140644109320750,https://toutiao.com/i7634140644109320750/,牛科技,空调,选购横评,对比选择型,10852,41,1181,1,11.0,15.4,139,10,1,0,19,24,4.57,33,已发布,正常,,点击强,标题强点击,['公式可复用'],对比选择型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
2026年618空调怎么买最划算：2500亿国补申领指南,2026-04-29 19:00:00,7634100540289188379,https://toutiao.com/i7634100540289188379/,牛科技,空调,趋势科普,其他,19174,39,1423,5,7.0,11.27,154,17,2,0,46,64,9.07,28,已发布,正常,,推荐强,平台愿意推,['标题强点击'],其他 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
TCL/海信/小米/创维/三星/索尼，2026谁才是真正的性价比之王？,2026-04-16 19:00:00,7629229678527545865,https://toutiao.com/i7629229678527545865/,牛科技,电视,选购横评,多品牌对决型,22135,73,1564,7,7.0,17.72,126,23,25,0,32,32,7.16,35,已发布,正常,,推荐强,平台愿意推,['标题强点击'],多品牌对决型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
2026年万元级电视横评：三条路线实测PK，买对不买贵,2026-04-15 18:56:39,7625935170465513984,https://toutiao.com/i7625935170465513984/,牛科技,电视,选购横评,对比选择型,6406,163,341,3,5.0,15.42,149,8,0,0,9,11,8.21,27,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,暂无明显硬伤，继续观察同类样本。,改标题再试,电视别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-22
2026 TCL 电视最全选购指南：1500 到 15000 元，看完这篇买电视不踩坑,2026-04-14 15:56:01,7628514182661194275,https://toutiao.com/i7628514182661194275/,牛科技,电视,选购横评,内幕避坑型,45674,68,3904,6,9.0,15.26,147,44,30,0,89,130,7.51,43,已发布,正常,,爆款,标题强点击,"['内容承接强', '公式可复用']",电视+内幕避坑型 已验证，展现/阅读/CTR 同时强，可作为下周优先复用结构。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
"同样是Mini LED，为何国产画质始终差索尼""一层窗户纸""？",2026-04-07 17:07:05,7625935209950708239,https://toutiao.com/i7625935209950708239/,牛科技,电视,选购横评,反问悬念型,49848,74,4597,7,9.0,19.5,156,46,61,0,66,62,5.11,31,已发布,正常,,爆款,标题强点击,"['内容承接强', '公式可复用']",电视+反问悬念型 已验证，展现/阅读/CTR 同时强，可作为下周优先复用结构。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
2026电视选购全景指南：一张表搞定你的完美选择,2026-04-01 16:04:35,7623673725149299252,https://toutiao.com/i7623673725149299252/,牛科技,电视,选购横评,其他,87,0,0,0,0,0,0,0,0,0,0,0,0,24,已发布,疑似限流,展现量低于100或阅读量为0，先作为疑似限流样本复盘。,疑似限流,疑似限流,['标题弱'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台推荐入口弱或阅读为0，需检查标题关键词、品类热度和发布时间。,冻结,,历史补标,2026-05-22
回南天衣服晾一周都不干？我拿热泵烘干做30天实测，结论颠覆认知,2026-03-31 19:56:36,7623364271140979210,https://toutiao.com/i7623364271140979210/,牛科技,洗衣机,选购横评,其他,3638,77,40,4,1.0,16.14,55,2,0,0,1,1,10.0,31,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,改标题再试,洗衣机别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-22
Rtings 打分 8.4 的 TCL 旗舰电视，国内价格比北美还低？体验反而更好,2026-03-31 17:54:18,7623012656500277770,https://toutiao.com/i7623012656500277770/,牛科技,电视,选购横评,品牌锚点型,3880,77,119,5,3.0,42.49,88,3,5,0,8,4,16.81,41,已发布,正常,,承接强,内容承接强,['标题弱'],内容承接不错，但需要重新包装标题提高点击。,暂无明显硬伤，继续观察同类样本。,改标题再试,电视品牌怎么选，老评测只看这3个硬指标,历史补标,2026-05-22
2026年买显示器，2K和4K哪个更值？看完终于不纠结了,2026-03-28 21:27:22,7622290483611533851,https://toutiao.com/i7622290483611533851/,牛科技,显示器,选购横评,对比选择型,57337,166,4155,8,7.0,19.76,84,29,20,0,10,53,2.7,28,已发布,正常,,爆款,平台愿意推,"['内容承接强', '公式可复用']",显示器+对比选择型 已验证，展现/阅读/CTR 同时强，可作为下周优先复用结构。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
2026年显示器怎么选？TCL这台新品让我有点意外,2026-03-26 18:04:06,7621496917390672393,https://toutiao.com/i7621496917390672393/,牛科技,电视,选购横评,品牌锚点型,5073,65,148,12,3.0,27.95,60,13,13,0,30,7,42.57,25,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,暂无明显硬伤，继续观察同类样本。,改标题再试,电视品牌怎么选，老评测只看这3个硬指标,历史补标,2026-05-22
DD直驱和BLDC皮带，洗衣机电机用了5年后差距有多大,2026-05-21 19:00:00,7642185320896676404,https://toutiao.com/i7642185320896676404/,牛科技说,洗衣机,选购横评,其他,7812,10,801,0,10.0,33.3,173,11,5,0,9,23,5.99,27,已发布,正常,,点击强,标题强点击,['公式可复用'],其他 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
开放式厨房选油烟机，先量烟道再挑型号，顺序反了全白费,2026-05-20 19:00:00,7641873886136713782,https://toutiao.com/i7641873886136713782/,牛科技说,油烟机,教程避坑,内幕避坑型,2163,7,131,1,6.0,13.03,149,4,0,0,8,10,16.79,26,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,暂无明显硬伤，继续观察同类样本。,改标题再试,油烟机选购最容易踩的3个坑，卖场一般不会主动说,历史补标,2026-05-22
新风空调拆解实录：多花的2000块到底买了什么,2026-05-19 19:03:00,7641260088379949603,https://toutiao.com/i7641260088379949603/,牛科技说,空调,选购横评,内幕视角型,878,10,10,0,1.0,2.8,131,0,0,0,0,1,10.0,23,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,样本展现偏低，选题覆盖面或标题钩子不足。,改标题再试,做了十年空调评测，我发现差距藏在这3个细节里,历史补标,2026-05-22
冰箱噪音大？问题可能不在你，在这4个地方,2026-05-18 19:00:00,7641054931113361962,https://toutiao.com/i7641054931113361962/,牛科技说,冰箱,教程避坑,其他,1614,8,50,0,3.0,32.66,196,0,0,0,2,0,4.0,20,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,阅读承接偏弱，标题承诺和正文吸引力需要复核。,改标题再试,冰箱别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-22
美的东芝华凌啥关系？三条线买哪条不踩坑,2026-05-18 00:26:09,7640893346910716426,https://toutiao.com/i7640893346910716426/,牛科技说,家电综合,选购横评,内幕避坑型,923,7,0,0,0,0,0,0,0,0,0,0,0,19,已发布,疑似限流,展现量低于100或阅读量为0，先作为疑似限流样本复盘。,疑似限流,疑似限流,['标题弱'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台推荐入口弱或阅读为0，需检查标题关键词、品类热度和发布时间。,冻结,,历史补标,2026-05-22
美的555、东芝548、华凌518 制冰冰箱技术拆解,2026-05-16 15:21:47,7640377608529625600,https://toutiao.com/i7640377608529625600/,牛科技说,冰箱,选购横评,多品牌对决型,1604,7,12,0,1.0,37.27,83,0,0,0,0,1,8.33,26,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,改标题再试,冰箱别只看品牌，真正拉开差距的是这3个参数,历史补标,2026-05-22
2026 冰箱门体选购指南：对开门、十字门、法式门到底哪个适合你,2026-05-16 01:30:32,7640128815213199922,https://toutiao.com/i7640128815213199922/,牛科技说,冰箱,选购横评,多品牌对决型,9565,12,764,0,8.0,16.92,188,8,3,0,14,34,7.72,32,已发布,正常,,点击强,标题强点击,['公式可复用'],多品牌对决型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
1万4的77寸OLED，藏着你不知道的隐性成本,2026-05-14 19:00:00,7639661906701206042,https://toutiao.com/i7639661906701206042/,牛科技说,电视,选购横评,内幕视角型,5322,28,427,3,8.0,15.01,113,7,0,0,8,7,5.15,23,已发布,正常,,点击强,标题强点击,['公式可复用'],内幕视角型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,改标题再试,做了十年电视评测，我发现差距藏在这3个细节里,历史补标,2026-05-22
Mini LED终局：SQD与RGB，2027谁成行业标准,2026-05-13 19:07:53,7639324314977714734,https://toutiao.com/i7639324314977714734/,牛科技说,电视,趋势科普,其他,21868,44,1510,7,7.0,16.79,267,35,30,0,72,45,12.05,29,已发布,正常,,推荐强,平台愿意推,['标题强点击'],其他 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
做了十年家电评测，冰箱的真实差距只在这3个参数,2026-05-12 19:04:50,7638948919187161643,https://toutiao.com/i7638948919187161643/,牛科技说,冰箱,选购横评,内幕视角型,8576,25,764,1,9.0,16.22,175,10,1,0,13,20,5.76,23,已发布,正常,,点击强,标题强点击,['公式可复用'],内幕视角型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
买电视只认这3个品牌，其余的我真不敢推荐,2026-05-11 19:11:31,7638586683910259263,https://toutiao.com/i7638586683910259263/,牛科技说,电视,选购横评,其他,1323,30,10,3,1.0,73.44,383,1,0,0,0,2,30.0,20,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,平台给过展现但点击弱，标题缺少新信息差或利益点。,改标题再试,电视别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-22
外资家电集体撤退：三星/索尼/LG走了，谁在填满中国人的家？,2026-05-10 19:00:00,7637842312646640168,https://toutiao.com/i7637842312646640168/,牛科技说,电视,趋势科普,多品牌对决型,13530,38,1006,2,7.0,17.47,121,12,43,0,14,17,8.55,30,已发布,正常,,推荐强,平台愿意推,['标题强点击'],多品牌对决型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
做了十年电视评测，海信TCL创维的真实差距才看清,2026-05-09 19:35:00,7637727635140903464,https://toutiao.com/i7637727635140903464/,牛科技说,电视,选购横评,多品牌对决型,126541,28,10185,0,8.0,14.58,208,124,74,2,152,217,5.59,24,已发布,正常,,爆款,标题强点击,"['内容承接强', '公式可复用']",电视+多品牌对决型 已验证，展现/阅读/CTR 同时强，可作为下周优先复用结构。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
油烟机推荐！2026四品牌横评不踩坑,2026-05-08 20:05:00,7637456852694893119,https://toutiao.com/i7637456852694893119/,牛科技说,油烟机,选购横评,内幕避坑型,13791,22,1114,2,8.0,11.97,171,11,1,0,44,92,13.29,18,已发布,正常,,点击强,标题强点击,['公式可复用'],内幕避坑型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
